lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
5.55E-06,1.29E-05,0.430724035,30.10531902,69.89468098,2.03E-05,1.85E-06,1,,,2.65E-05,6.55E-05,0.404823069,28.81665868,71.18334132,0.0001007,8.75E-06,1
2.12E-05,4.96E-05,0.42729982,29.93763564,70.06236436,7.79E-05,7.06E-06,2,,,0.00094325,0.002290565,0.411798171,29.16834569,70.83165431,0.003546225,0.00031241,2
0.000125609,0.000287141,0.437446735,30.43220486,69.56779514,0.000454696,4.19E-05,3,,,2.31E-07,1.23E-06,0.187640958,15.7994684,84.2005316,1.52E-06,6.36E-08,3
6.65E-06,1.53E-05,0.43349889,30.24061567,69.75938433,2.42E-05,2.22E-06,4,,,3.75E-06,9.61E-06,0.390120527,28.06379157,71.93620843,1.46E-05,1.23E-06,4
8.00E-07,5.15E-06,0.155429233,13.45207727,86.54792273,6.15E-06,2.03E-07,5,,,0.000410256,0.000953085,0.430451044,30.09198015,69.90801985,0.001500048,0.000136707,5
5.22E-05,0.000127005,0.41104184,29.13037932,70.86962068,0.000196495,1.73E-05,6,,,2.38E-05,5.79E-05,0.411768796,29.16687187,70.83312813,8.96E-05,7.89E-06,6
1.62E-06,3.69E-06,0.437725456,30.44569142,69.55430858,5.85E-06,5.40E-07,7,,,4.78E-06,2.98E-05,0.160042349,13.79625056,86.20374944,3.59E-05,1.23E-06,7
4.08E-06,1.28E-05,0.320174129,24.25241656,75.74758344,1.81E-05,1.30E-06,8,,,8.43E-06,3.56E-05,0.237020385,19.16058843,80.83941157,4.65E-05,2.50E-06,8
4.81E-07,1.22E-06,0.39305998,28.21558192,71.78441808,1.86E-06,1.58E-07,9,,,9.29E-05,0.000212327,0.437725299,30.44568383,69.55431617,0.000336307,3.10E-05,9
4.61E-05,0.000106749,0.431771331,30.15644479,69.84355521,0.000168206,1.54E-05,10,,,5.02E-05,0.000114658,0.437725575,30.44569721,69.55430279,0.000181609,1.68E-05,10
1.17E-05,3.24E-05,0.360736961,26.51041102,73.48958898,4.78E-05,3.79E-06,11,,,0.002969151,0.006792094,0.437148096,30.41774866,69.58225134,0.010752665,0.00099142,11
4.30E-07,2.43E-06,0.177303455,15.06013206,84.93986794,2.97E-06,1.16E-07,12,,,8.90E-05,0.000203262,0.437636398,30.44138271,69.55861729,0.000321923,2.97E-05,12
