lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
1.09E-06,2.72E-06,0.402273781,28.68724969,71.31275031,4.17E-06,3.61E-07,1,,,,7.26E-06,2.17E-05,0.335433608,25.11795466,74.88204534,3.12E-05,2.33E-06,1
1.42E-05,3.28E-05,0.432375549,30.18590686,69.81409314,5.17E-05,4.73E-06,2,,,,0.000730577,0.001772329,0.412212823,29.18914316,70.81085684,0.002744911,0.000242005,2
3.61E-07,4.50E-06,0.080309313,7.43391841,92.56608159,4.91E-06,5.02E-08,3,,,,0.000166772,0.000381214,0.43747731,30.43368455,69.56631545,0.000603678,5.57E-05,3
1.18E-05,2.72E-05,0.435000036,30.31359058,69.68640942,4.29E-05,3.95E-06,4,,,,1.10E-05,2.52E-05,0.435048833,30.31596017,69.68403983,3.98E-05,3.66E-06,4
2.55E-06,8.22E-06,0.309770476,23.65074503,76.34925497,1.16E-05,8.04E-07,5,,,,9.69E-05,0.000232572,0.416467408,29.40183484,70.59816516,0.000361562,3.21E-05,5
0.000491924,0.001130416,0.435170405,30.32186309,69.67813691,0.001786498,0.000164159,6,,,,3.18E-05,7.68E-05,0.414408367,29.29906078,70.70093922,0.000119152,1.05E-05,6
9.11E-07,2.08E-06,0.437331926,30.42664801,69.57335199,3.30E-06,3.04E-07,7,,,,3.20E-05,7.31E-05,0.437687059,30.44383383,69.55616617,0.000115712,1.07E-05,7
9.64E-07,5.88E-06,0.163927559,14.08400012,85.91599988,7.10E-06,2.51E-07,8,,,,9.97E-05,0.000232147,0.429670678,30.05382182,69.94617818,0.000365124,3.32E-05,8
9.37E-07,2.41E-06,0.388170496,27.96273925,72.03726075,3.66E-06,3.08E-07,9,,,,1.53E-06,3.68E-06,0.415298159,29.34351018,70.65648982,5.72E-06,5.07E-07,9
3.43E-05,7.95E-05,0.431745287,30.15517431,69.84482569,0.000125196,1.14E-05,10,,,,2.96E-05,6.76E-05,0.437717204,30.44529224,69.55470776,0.000107075,9.88E-06,10
2.59E-05,6.46E-05,0.400768333,28.61060772,71.38939228,9.91E-05,8.55E-06,11,,,,0.000463631,0.001062727,0.436265539,30.37499177,69.62500823,0.001681127,0.000154769,11
1.68E-05,3.87E-05,0.432667973,30.20015673,69.79984327,6.11E-05,5.59E-06,12,,,,0.000109764,0.000250846,0.437576304,30.43847502,69.56152498,0.000397267,3.67E-05,12
