lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
4.08E-06,9.94E-06,0.410494699,29.10288844,70.89711156,1.54E-05,1.35E-06,1,,,,,3.51E-05,8.01E-05,0.437627884,30.44097079,69.55902921,0.00012686,1.17E-05,1
1.90E-05,4.38E-05,0.432330128,30.18369295,69.81630705,6.91E-05,6.32E-06,2,,,,,2.46E-05,0.000142224,0.173163488,14.76038846,85.23961154,0.000173427,6.58E-06,2
0.000113978,0.000261055,0.4366039,30.39139043,69.60860957,0.000413084,3.81E-05,3,,,,,0.000147926,0.000339313,0.435957456,30.3600538,69.6399462,0.000536615,4.94E-05,3
7.63E-06,1.78E-05,0.429350069,30.03813261,69.96186739,2.79E-05,2.54E-06,4,,,,,0.000123984,0.000283593,0.437190563,30.41980472,69.58019528,0.000448977,4.14E-05,4
1.04E-06,4.99E-06,0.207905998,17.21210081,82.78789919,6.33E-06,2.96E-07,5,,,,,0.000104174,0.00024598,0.42350511,29.75086686,70.24913314,0.00038479,3.46E-05,5
5.49E-05,0.000136328,0.40265829,28.70679858,71.29320142,0.000209345,1.81E-05,6,,,,,4.44E-05,0.000103962,0.426651101,29.90577727,70.09422273,0.00016308,1.48E-05,6
9.36E-07,2.15E-06,0.43573847,30.34943196,69.65056804,3.40E-06,3.12E-07,7,,,,,1.19E-05,2.72E-05,0.43722682,30.42156002,69.57843998,4.31E-05,3.97E-06,7
3.47E-06,1.09E-05,0.318397826,24.15036038,75.84963962,1.55E-05,1.10E-06,8,,,,,0.000158538,0.000365519,0.433733416,30.25202669,69.74797331,0.000576939,5.29E-05,8
7.69E-08,5.09E-07,0.151124225,13.12840279,86.87159721,6.05E-07,1.93E-08,9,,,,,1.77E-06,4.51E-06,0.391495167,28.1348564,71.8651436,6.86E-06,5.81E-07,9
4.26E-05,9.82E-05,0.433438126,30.23765856,69.76234144,0.000154977,1.42E-05,10,,,,,1.13E-05,2.59E-05,0.437038849,30.41245886,69.58754114,4.10E-05,3.78E-06,10
1.26E-05,3.37E-05,0.374361459,27.23893751,72.76106249,5.04E-05,4.11E-06,11,,,,,0.001239657,0.002836315,0.437066199,30.41378326,69.58621674,0.004489893,0.00041392,11
2.99E-06,9.42E-06,0.317390175,24.09234417,75.90765583,1.34E-05,9.49E-07,12,,,,,0.000103499,0.000236683,0.437291207,30.42467698,69.57532302,0.000374743,3.46E-05,12
