lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num,,,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,num
744.0646994,672.9543238,1.105668948,52.50915388,47.49084612,1884.530006,467.5109824,cppg1_0,,,782.7511761,738.614682,1.059755777,51.4505549,48.5494451,1989.580408,468.2145503,rppg1_0
709.4427341,690.7687905,1.027033566,50.66682581,49.33317419,1795.546741,395.3352169,cppg1_1,,,714.5843932,808.5293909,0.883807566,46.91602168,53.08397832,1910.399272,387.2854879,rppg1_1
648.715712,655.5171133,0.989624373,49.73925663,50.26074337,1771.094042,466.8612163,cppg1_2,,,648.0719678,823.032591,0.787419569,44.05342665,55.94657335,1923.054406,451.9498468,rppg1_2
735.9098581,665.2516879,1.106212688,52.52141412,47.47858588,1858.867537,457.7059912,cppg1_3,,,764.4924771,807.8601468,0.94631785,48.62093054,51.37906946,2024.727996,452.3753725,rppg1_3
497.5255552,620.5656553,0.801729118,44.49776106,55.50223894,1516.117858,398.0266479,cppg1_4,,,526.5136707,782.9968507,0.672433957,40.20690648,59.79309352,1693.834472,384.3239508,rppg1_4
530.0273361,627.8009361,0.844260188,45.77771582,54.22228418,1674.569605,516.7413326,cppg1_5,,,519.9500423,770.8926968,0.674477842,40.27989054,59.72010946,1799.937748,509.0950088,rppg1_5
584.3360936,593.466124,0.984615751,49.61241241,50.38758759,1643.135105,465.3328879,cppg1_6,,,583.4147109,729.9337538,0.799270766,44.42192811,55.57807189,1758.856235,445.5077703,rppg1_6
471.416613,573.0388183,0.82266087,45.13515837,54.86484163,1483.333878,438.8784465,cppg1_7,,,448.8368222,712.1086837,0.630292584,38.661317,61.338683,1585.771074,424.8255685,rppg1_7
370.4656793,572.3701707,0.647248404,39.29270183,60.70729817,1246.615628,303.7797778,cppg1_8,,,347.7007945,776.0803442,0.448021648,30.94025897,69.05974103,1413.491945,289.7108064,rppg1_8
430.4719417,533.9683623,0.806174995,44.63437912,55.36562088,1232.925349,268.4850454,cppg1_9,,,411.5675225,727.0281437,0.566095723,36.14694265,63.85305735,1397.820736,259.2250698,rppg1_9
529.5013394,573.7948248,0.922806056,47.99267473,52.00732527,1377.416711,274.1205467,cppg1_10,,,511.3889466,789.393417,0.647825198,39.31395143,60.68604857,1574.779846,273.9974824,rppg1_10
